Device_id,kernel_name,kernel_type,stream_id,task_id,task_time(us),task_start(us),task_stop(us)
0,trans_TransData_55,KERNEL_AIVEC,1,1079,115.125,1763720952532548.782	,1763720952532663.907	
0,AsStrided251,KERNEL_AIVEC,1,1080,16.75,1763720952979113.844	,1763720952979130.594	
0,N/A,MEMCPY_ASYNC,1,1081,2.083,1763720952979297.282	,1763720952979299.365	
0,trans_TransData_55,KERNEL_AIVEC,1,1082,117.916,1763720952979370.865	,1763720952979488.781	
0,AsStrided252,KERNEL_AIVEC,1,1083,16.166,1763720953473997.907	,1763720953474014.073	
0,N/A,MEMCPY_ASYNC,1,1084,2.062,1763720953474178.678	,1763720953474180.740	
0,trans_TransData_55,KERNEL_AIVEC,1,1085,91.937,1763720953474246.699	,1763720953474338.636	
0,AsStrided253,KERNEL_AIVEC,1,1086,16.145,1763720953930353.386	,1763720953930369.531	
0,N/A,MEMCPY_ASYNC,1,1087,2.041,1763720953930527.428	,1763720953930529.469	
0,trans_TransData_55,KERNEL_AIVEC,1,1088,127.062,1763720953930620.740	,1763720953930747.802	
0,AsStrided254,KERNEL_AIVEC,1,1089,16.5,1763720954382715.178	,1763720954382731.678	
0,N/A,MEMCPY_ASYNC,1,1090,2.104,1763720954382891.969	,1763720954382894.073	
0,trans_TransData_55,KERNEL_AIVEC,1,1091,96.666,1763720954382968.699	,1763720954383065.365	
0,AsStrided255,KERNEL_AIVEC,1,1092,16.104,1763720954838289.761	,1763720954838305.865	
0,N/A,MEMCPY_ASYNC,1,1093,2.083,1763720954838770.678	,1763720954838772.761	
0,trans_TransData_55,KERNEL_AIVEC,1,1094,108.916,1763720954838874.449	,1763720954838983.365	
0,AsStrided256,KERNEL_AIVEC,1,1095,16.125,1763720955318543.157	,1763720955318559.282	
0,N/A,MEMCPY_ASYNC,1,1096,2.062,1763720955318726.949	,1763720955318729.011	
0,trans_TransData_55,KERNEL_AIVEC,1,1097,107.52,1763720955318807.428	,1763720955318914.948	
0,AsStrided257,KERNEL_AIVEC,1,1098,16.562,1763720955793277.011	,1763720955793293.573	
0,N/A,MEMCPY_ASYNC,1,1099,2.041,1763720955793458.094	,1763720955793460.135	
