Device_id,Model ID,Task ID,Stream ID,Op Name,OP Type,OP State,Task Type,Task Start Time(us),Task Duration(us),Task Wait Time(us),Block Dim,Mix Block Dim,HF32 Eligible,Input Shapes,Input Data Types,Input Formats,Output Shapes,Output Data Types,Output Formats,Context ID
0,4294967295,550,1,Conv2D76,N/A,N/A,N/A,1764070223943975.382	,810.979,0.062,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0,4294967295,551,1,Add69,N/A,N/A,N/A,1764070223944786.444	,2.333,0.083,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0,4294967295,552,1,Rsqrt70,N/A,N/A,N/A,1764070223944788.840	,2.458,0.062,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0,4294967295,553,1,Mul71,N/A,N/A,N/A,1764070223944791.382	,2.396,0.083,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0,4294967295,554,1,Mul71,N/A,N/A,N/A,1764070223944793.861	,2.188,0.083,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0,4294967295,555,1,Sub72,N/A,N/A,N/A,1764070223944796.132	,2.396,0.083,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0,4294967295,556,1,trans_TransData_27,N/A,N/A,N/A,1764070223944798.590	,2.042,0.062,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0,4294967295,557,1,Mul73,N/A,N/A,N/A,1764070223944800.694	,25.917,0.062,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0,4294967295,558,1,trans_TransData_28,N/A,N/A,N/A,1764070223944826.694	,2.271,0.083,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0,4294967295,559,1,Add74,N/A,N/A,N/A,1764070223944829.027	,18.0,0.062,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0,4294967295,560,1,Conv2D77,N/A,N/A,N/A,1764070223944847.090	,76.667,0.062,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0,4294967295,561,1,Add69,N/A,N/A,N/A,1764070223944923.819	,2.188,0.062,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0,4294967295,562,1,Rsqrt70,N/A,N/A,N/A,1764070223944946.132	,2.292,20.125,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0,4294967295,563,1,Mul71,N/A,N/A,N/A,1764070223944987.423	,2.125,39.0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0,4294967295,564,1,Mul71,N/A,N/A,N/A,1764070223945022.715	,2.125,33.167,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0,4294967295,565,1,Sub72,N/A,N/A,N/A,1764070223945061.923	,2.104,37.083,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0,4294967295,566,1,trans_TransData_27,N/A,N/A,N/A,1764070223945115.382	,1.875,51.354,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0,4294967295,567,1,Mul73,N/A,N/A,N/A,1764070223945135.506	,17.667,18.25,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0,4294967295,568,1,trans_TransData_28,N/A,N/A,N/A,1764070223945178.277	,1.792,25.104,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0,4294967295,569,1,Add74,N/A,N/A,N/A,1764070223945197.277	,17.646,17.208,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0,4294967295,570,1,Add78,N/A,N/A,N/A,1764070223945263.506	,24.917,48.583,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0,4294967295,571,1,Relu75,N/A,N/A,N/A,1764070223945309.694	,17.583,21.271,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0,4294967295,572,1,Conv2D76,N/A,N/A,N/A,1764070223945371.048	,789.396,43.771,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0,4294967295,573,1,Add69,N/A,N/A,N/A,1764070223946160.527	,2.417,0.083,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0,4294967295,574,1,Rsqrt70,N/A,N/A,N/A,1764070223946163.027	,2.5,0.083,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0,4294967295,575,1,Mul71,N/A,N/A,N/A,1764070223946165.611	,2.354,0.083,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0,4294967295,576,1,Mul71,N/A,N/A,N/A,1764070223946168.048	,2.188,0.083,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0,4294967295,577,1,Sub72,N/A,N/A,N/A,1764070223946170.319	,2.333,0.083,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0,4294967295,578,1,trans_TransData_27,N/A,N/A,N/A,1764070223946172.736	,2.042,0.083,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0,4294967295,579,1,Mul73,N/A,N/A,N/A,1764070223946174.840	,25.688,0.062,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0,4294967295,580,1,trans_TransData_28,N/A,N/A,N/A,1764070223946200.611	,2.208,0.083,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0,4294967295,581,1,Add74,N/A,N/A,N/A,1764070223946202.882	,18.083,0.062,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0,4294967295,582,1,Relu75,N/A,N/A,N/A,1764070223946221.048	,17.646,0.083,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0,4294967295,583,1,Conv2D76,N/A,N/A,N/A,1764070223946238.756	,733.167,0.062,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0,4294967295,584,1,Add69,N/A,N/A,N/A,1764070223946972.006	,2.312,0.083,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0,4294967295,585,1,Rsqrt70,N/A,N/A,N/A,1764070223946974.382	,2.625,0.062,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0,4294967295,586,1,Mul71,N/A,N/A,N/A,1764070223946977.069	,2.396,0.062,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0,4294967295,587,1,Mul71,N/A,N/A,N/A,1764070223946979.527	,2.229,0.062,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0,4294967295,588,1,Sub72,N/A,N/A,N/A,1764070223946981.819	,2.375,0.062,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0,4294967295,589,1,trans_TransData_27,N/A,N/A,N/A,1764070223946984.256	,1.958,0.062,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0,4294967295,590,1,Mul73,N/A,N/A,N/A,1764070223946986.277	,25.625,0.062,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0,4294967295,591,1,trans_TransData_28,N/A,N/A,N/A,1764070223947011.986	,2.25,0.083,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0,4294967295,592,1,Add74,N/A,N/A,N/A,1764070223947014.319	,18.021,0.083,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0,4294967295,593,1,Add78,N/A,N/A,N/A,1764070223947032.402	,33.646,0.062,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0,4294967295,594,1,Relu75,N/A,N/A,N/A,1764070223947066.132	,17.646,0.083,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0,4294967295,596,1,Fill79,N/A,N/A,N/A,1764070223947086.027	,3.438,2.25,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
